"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22665","Deve validar o layout responsivo em diferentes tamanhos de tela","","Mon Dec 30 17:20:46 BRT 2024","passed","Mon Dec 30 17:21:09 BRT 2024","","Testes da Página Inicial - Automation Exercise","Testes da Página Inicial - Automation Exercise","Deve validar o layout responsivo em diferentes tamanhos de tela"
"","1455","Deve validar todos os elementos do cabeçalho","","Mon Dec 30 17:10:24 BRT 2024","passed","Mon Dec 30 17:10:25 BRT 2024","","Testes da Página de Contato - Automation Exercise","Testes da Página de Contato - Automation Exercise","Deve validar todos os elementos do cabeçalho"
"","1119","Deve validar todos os elementos do rodapé","","Mon Dec 30 17:09:51 BRT 2024","passed","Mon Dec 30 17:09:52 BRT 2024","","Testes na página de carrinho - Automation Exercise","Testes na página de carrinho - Automation Exercise","Deve validar todos os elementos do rodapé"
"","30688","Deve validar a responsividade da página em diferentes tamanhos de tela","","Mon Dec 30 17:20:13 BRT 2024","passed","Mon Dec 30 17:20:44 BRT 2024","","Testes na página de logout - Automation Exercise","Testes na página de logout - Automation Exercise","Deve validar a responsividade da página em diferentes tamanhos de tela"
"","13248","Deve validar que o rodapé está presente na página","","Mon Dec 30 17:11:39 BRT 2024","passed","Mon Dec 30 17:11:52 BRT 2024","","Testes do Rodapé","Testes do Rodapé","Deve validar que o rodapé está presente na página"
"","4756","Deve exibir o botão ""Add to cart"" do terceiro produto","","Mon Dec 30 17:22:12 BRT 2024","passed","Mon Dec 30 17:22:17 BRT 2024","","Testes da Página Inicial - Automation Exercise","Testes da Página Inicial - Automation Exercise","Deve exibir o botão ""Add to cart"" do terceiro produto"
"","2847","Deve exibir o link de marca 5","","Mon Dec 30 17:23:26 BRT 2024","passed","Mon Dec 30 17:23:29 BRT 2024","","Testes da Página Inicial - Automation Exercise","Testes da Página Inicial - Automation Exercise","Deve exibir o link de marca 5"
"","16331","Deve validar todos os elementos do cabeçalho","","Mon Dec 30 17:18:14 BRT 2024","passed","Mon Dec 30 17:18:31 BRT 2024","","Testes na página de logout - Automation Exercise","Testes na página de logout - Automation Exercise","Deve validar todos os elementos do cabeçalho"
"","13580","Deve validar o título da página","","Mon Dec 30 17:17:22 BRT 2024","passed","Mon Dec 30 17:17:36 BRT 2024","","Testes na página de login - Automation Exercise","Testes na página de login - Automation Exercise","Deve validar o título da página"
"","24166","Deve validar a visibilidade de todos os elementos do rodapé","","Mon Dec 30 17:10:50 BRT 2024","passed","Mon Dec 30 17:11:14 BRT 2024","","Testes do Rodapé","Testes do Rodapé","Deve validar a visibilidade de todos os elementos do rodapé"
"","2638","Deve exibir o link de marca 7","","Mon Dec 30 17:23:32 BRT 2024","passed","Mon Dec 30 17:23:35 BRT 2024","","Testes da Página Inicial - Automation Exercise","Testes da Página Inicial - Automation Exercise","Deve exibir o link de marca 7"
"","19477","Deve realizar logout","","Mon Dec 30 17:19:41 BRT 2024","passed","Mon Dec 30 17:20:00 BRT 2024","","Testes na página de logout - Automation Exercise","Testes na página de logout - Automation Exercise","Deve realizar logout"
"","1198","Deve validar o título do formulário","","Mon Dec 30 17:10:26 BRT 2024","passed","Mon Dec 30 17:10:27 BRT 2024","","Testes da Página de Contato - Automation Exercise","Testes da Página de Contato - Automation Exercise","Deve validar o título do formulário"
"","1376","Deve validar o desempenho da página","","Mon Dec 30 17:24:38 BRT 2024","passed","Mon Dec 30 17:24:39 BRT 2024","","Testes na página de cadastro - Automation Exercise","Testes na página de cadastro - Automation Exercise","Deve validar o desempenho da página"
"","11999","Deve validar todos os elementos do rodapé","","Mon Dec 30 17:18:31 BRT 2024","passed","Mon Dec 30 17:18:43 BRT 2024","","Testes na página de logout - Automation Exercise","Testes na página de logout - Automation Exercise","Deve validar todos os elementos do rodapé"
"","5336","Deve validar o título da página","","Mon Dec 30 17:24:18 BRT 2024","passed","Mon Dec 30 17:24:23 BRT 2024","","Testes na página de cadastro - Automation Exercise","Testes na página de cadastro - Automation Exercise","Deve validar o título da página"
"","5830","Deve validar o tempo de carregamento da página","","Mon Dec 30 17:21:09 BRT 2024","passed","Mon Dec 30 17:21:15 BRT 2024","","Testes da Página Inicial - Automation Exercise","Testes da Página Inicial - Automation Exercise","Deve validar o tempo de carregamento da página"
"","14751","Deve fazer login corretamente com credenciais válidas","","Mon Dec 30 17:17:39 BRT 2024","passed","Mon Dec 30 17:17:54 BRT 2024","","Testes na página de login - Automation Exercise","Testes na página de login - Automation Exercise","Deve fazer login corretamente com credenciais válidas"
"","5239","Deve exibir o link de marca 2","","Mon Dec 30 17:23:12 BRT 2024","passed","Mon Dec 30 17:23:17 BRT 2024","","Testes da Página Inicial - Automation Exercise","Testes da Página Inicial - Automation Exercise","Deve exibir o link de marca 2"
"","4948","Deve mostrar erro ao tentar fazer login com credenciais inválidas","","Mon Dec 30 17:17:54 BRT 2024","passed","Mon Dec 30 17:17:59 BRT 2024","","Testes na página de login - Automation Exercise","Testes na página de login - Automation Exercise","Deve mostrar erro ao tentar fazer login com credenciais inválidas"
"","1640","Deve validar todos os elementos do cabeçalho","","Mon Dec 30 17:17:36 BRT 2024","passed","Mon Dec 30 17:17:37 BRT 2024","","Testes na página de login - Automation Exercise","Testes na página de login - Automation Exercise","Deve validar todos os elementos do cabeçalho"
"","31809","Deve confirmar se está logado","","Mon Dec 30 17:19:09 BRT 2024","passed","Mon Dec 30 17:19:41 BRT 2024","","Testes na página de logout - Automation Exercise","Testes na página de logout - Automation Exercise","Deve confirmar se está logado"
"","9536","Deve exibir a imagem do terceiro produto","","Mon Dec 30 17:21:55 BRT 2024","passed","Mon Dec 30 17:22:04 BRT 2024","","Testes da Página Inicial - Automation Exercise","Testes da Página Inicial - Automation Exercise","Deve exibir a imagem do terceiro produto"
"","1221","Deve verificar visibilidade do formulário de contato","","Mon Dec 30 17:10:27 BRT 2024","passed","Mon Dec 30 17:10:29 BRT 2024","","Testes da Página de Contato - Automation Exercise","Testes da Página de Contato - Automation Exercise","Deve verificar visibilidade do formulário de contato"
"","2704","Deve exibir erro para título incorreto","","Mon Dec 30 17:23:37 BRT 2024","passed","Mon Dec 30 17:23:40 BRT 2024","","Testes da Página Inicial - Automation Exercise","Testes da Página Inicial - Automation Exercise","Deve exibir erro para título incorreto"
"","1150","Deve fazer o upload de um arquivo","","Mon Dec 30 17:10:31 BRT 2024","passed","Mon Dec 30 17:10:32 BRT 2024","","Testes da Página de Contato - Automation Exercise","Testes da Página de Contato - Automation Exercise","Deve fazer o upload de um arquivo"
"","3305","Deve mostrar erro ao tentar cadastrar com e-mail já existente","","Mon Dec 30 17:24:33 BRT 2024","passed","Mon Dec 30 17:24:36 BRT 2024","","Testes na página de cadastro - Automation Exercise","Testes na página de cadastro - Automation Exercise","Deve mostrar erro ao tentar cadastrar com e-mail já existente"
"","2639","Deve exibir o link de marca 6","","Mon Dec 30 17:23:29 BRT 2024","passed","Mon Dec 30 17:23:32 BRT 2024","","Testes da Página Inicial - Automation Exercise","Testes da Página Inicial - Automation Exercise","Deve exibir o link de marca 6"
"","3407","Deve garantir que o contraste do texto no cabeçalho seja adequado","","Mon Dec 30 17:10:44 BRT 2024","passed","Mon Dec 30 17:10:48 BRT 2024","","Testes da Página de Contato - Automation Exercise","Testes da Página de Contato - Automation Exercise","Deve garantir que o contraste do texto no cabeçalho seja adequado"
"","6104","Deve exibir o badge no primeiro link da barra lateral","","Mon Dec 30 17:22:44 BRT 2024","passed","Mon Dec 30 17:22:50 BRT 2024","","Testes da Página Inicial - Automation Exercise","Testes da Página Inicial - Automation Exercise","Deve exibir o badge no primeiro link da barra lateral"
"","20805","Deve validar o container do rodapé","","Mon Dec 30 17:11:53 BRT 2024","passed","Mon Dec 30 17:12:13 BRT 2024","","Testes do Rodapé","Testes do Rodapé","Deve validar o container do rodapé"
"","5800","Deve validar o título da página","","Mon Dec 30 17:09:43 BRT 2024","passed","Mon Dec 30 17:09:49 BRT 2024","","Testes na página de carrinho - Automation Exercise","Testes na página de carrinho - Automation Exercise","Deve validar o título da página"
"","5784","Deve validar todos os elementos do rodapé","","Mon Dec 30 17:21:26 BRT 2024","passed","Mon Dec 30 17:21:32 BRT 2024","","Testes da Página Inicial - Automation Exercise","Testes da Página Inicial - Automation Exercise","Deve validar todos os elementos do rodapé"
"","7222","Deve exibir o título ""All Products"" na seção de produtos","","Mon Dec 30 17:21:32 BRT 2024","passed","Mon Dec 30 17:21:39 BRT 2024","","Testes da Página Inicial - Automation Exercise","Testes da Página Inicial - Automation Exercise","Deve exibir o título ""All Products"" na seção de produtos"
"","4116","Deve validar o título da página","","Mon Dec 30 17:10:20 BRT 2024","passed","Mon Dec 30 17:10:24 BRT 2024","","Testes da Página de Contato - Automation Exercise","Testes da Página de Contato - Automation Exercise","Deve validar o título da página"
"","4882","Deve exibir o título do terceiro produto","","Mon Dec 30 17:22:04 BRT 2024","passed","Mon Dec 30 17:22:09 BRT 2024","","Testes da Página Inicial - Automation Exercise","Testes da Página Inicial - Automation Exercise","Deve exibir o título do terceiro produto"
"","12866","Deve validar o tempo de carregamento da página","","Mon Dec 30 17:20:00 BRT 2024","passed","Mon Dec 30 17:20:13 BRT 2024","","Testes na página de logout - Automation Exercise","Testes na página de logout - Automation Exercise","Deve validar o tempo de carregamento da página"
"","3440","Deve exibir a descrição do terceiro produto","","Mon Dec 30 17:22:09 BRT 2024","passed","Mon Dec 30 17:22:12 BRT 2024","","Testes da Página Inicial - Automation Exercise","Testes da Página Inicial - Automation Exercise","Deve exibir a descrição do terceiro produto"
"","3787","Deve exibir a seção 'Features' mesmo sem produtos","","Mon Dec 30 17:17:16 BRT 2024","passed","Mon Dec 30 17:17:20 BRT 2024","","Testes da Página Inicial - Automation Exercise","Testes da Página Inicial - Automation Exercise","Deve exibir a seção 'Features' mesmo sem produtos"
"","3087","Deve exibir o link no primeiro item da barra lateral","","Mon Dec 30 17:22:41 BRT 2024","passed","Mon Dec 30 17:22:44 BRT 2024","","Testes da Página Inicial - Automation Exercise","Testes da Página Inicial - Automation Exercise","Deve exibir o link no primeiro item da barra lateral"
"","8510","Deve validar todos os elementos do cabeçalho","","Mon Dec 30 17:21:18 BRT 2024","passed","Mon Dec 30 17:21:26 BRT 2024","","Testes da Página Inicial - Automation Exercise","Testes da Página Inicial - Automation Exercise","Deve validar todos os elementos do cabeçalho"
"","3221","Deve validar o layout responsivo em diferentes tamanhos de tela","","Mon Dec 30 17:10:12 BRT 2024","passed","Mon Dec 30 17:10:15 BRT 2024","","Testes na página de carrinho - Automation Exercise","Testes na página de carrinho - Automation Exercise","Deve validar o layout responsivo em diferentes tamanhos de tela"
"","3079","Deve exibir a barra lateral esquerda","","Mon Dec 30 17:22:34 BRT 2024","passed","Mon Dec 30 17:22:37 BRT 2024","","Testes da Página Inicial - Automation Exercise","Testes da Página Inicial - Automation Exercise","Deve exibir a barra lateral esquerda"
"","2673","Deve exibir o link de marca 1","","Mon Dec 30 17:23:09 BRT 2024","passed","Mon Dec 30 17:23:12 BRT 2024","","Testes da Página Inicial - Automation Exercise","Testes da Página Inicial - Automation Exercise","Deve exibir o link de marca 1"
"","6777","Deve permitir buscar o produto ""Men Tshirt"" usando a barra de pesquisa","","Mon Dec 30 17:23:40 BRT 2024","passed","Mon Dec 30 17:23:47 BRT 2024","","Testes da Página Inicial - Automation Exercise Testes da Página de Produtos - Automation Exercise","Testes da Página Inicial - Automation Exercise Testes da Página de Produtos - Automation Exercise","Deve permitir buscar o produto ""Men Tshirt"" usando a barra de pesquisa"
"","14968","Deve validar a visibilidade do logo","","Mon Dec 30 17:12:16 BRT 2024","passed","Mon Dec 30 17:12:30 BRT 2024","","Testes de Header","Testes de Header","Deve validar a visibilidade do logo"
"","2604","Deve exibir o título ""Features"" na seção de Features Items","","Mon Dec 30 17:12:56 BRT 2024","passed","Mon Dec 30 17:12:59 BRT 2024","","Testes da Página Inicial - Automation Exercise","Testes da Página Inicial - Automation Exercise","Deve exibir o título ""Features"" na seção de Features Items"
"","5479","Deve exibir o link de marca 4","","Mon Dec 30 17:23:21 BRT 2024","passed","Mon Dec 30 17:23:26 BRT 2024","","Testes da Página Inicial - Automation Exercise","Testes da Página Inicial - Automation Exercise","Deve exibir o link de marca 4"
"","13365","Deve carregar a página rapidamente","","Mon Dec 30 17:15:59 BRT 2024","passed","Mon Dec 30 17:16:12 BRT 2024","","Testes da Página Inicial - Automation Exercise","Testes da Página Inicial - Automation Exercise","Deve carregar a página rapidamente"
"","42281","Deve funcionar corretamente em diferentes tamanhos de tela","","Mon Dec 30 17:16:12 BRT 2024","passed","Mon Dec 30 17:16:55 BRT 2024","","Testes da Página Inicial - Automation Exercise","Testes da Página Inicial - Automation Exercise","Deve funcionar corretamente em diferentes tamanhos de tela"
"","25318","Deve validar os links de inscrição do rodapé","","Mon Dec 30 17:11:14 BRT 2024","passed","Mon Dec 30 17:11:39 BRT 2024","","Testes do Rodapé","Testes do Rodapé","Deve validar os links de inscrição do rodapé"
"","1399","Deve validar todos os elementos do rodapé","","Mon Dec 30 17:17:37 BRT 2024","passed","Mon Dec 30 17:17:39 BRT 2024","","Testes na página de login - Automation Exercise","Testes na página de login - Automation Exercise","Deve validar todos os elementos do rodapé"
"","2887","Deve exibir o ícone do terceiro item da barra lateral","","Mon Dec 30 17:22:58 BRT 2024","passed","Mon Dec 30 17:23:01 BRT 2024","","Testes da Página Inicial - Automation Exercise","Testes da Página Inicial - Automation Exercise","Deve exibir o ícone do terceiro item da barra lateral"
"","11128","Não deve exibir o título incorreto","","Mon Dec 30 17:17:05 BRT 2024","passed","Mon Dec 30 17:17:16 BRT 2024","","Testes da Página Inicial - Automation Exercise","Testes da Página Inicial - Automation Exercise","Não deve exibir o título incorreto"
"","1081","Deve validar todos os elementos do rodapé","","Mon Dec 30 17:10:25 BRT 2024","passed","Mon Dec 30 17:10:26 BRT 2024","","Testes da Página de Contato - Automation Exercise","Testes da Página de Contato - Automation Exercise","Deve validar todos os elementos do rodapé"
"","2397","Deve validar a visibilidade e habilitação dos campos do formulário","","Mon Dec 30 17:10:29 BRT 2024","passed","Mon Dec 30 17:10:31 BRT 2024","","Testes da Página de Contato - Automation Exercise","Testes da Página de Contato - Automation Exercise","Deve validar a visibilidade e habilitação dos campos do formulário"
"","3721","Deve exibir o ícone do segundo item da barra lateral","","Mon Dec 30 17:22:54 BRT 2024","passed","Mon Dec 30 17:22:58 BRT 2024","","Testes da Página Inicial - Automation Exercise","Testes da Página Inicial - Automation Exercise","Deve exibir o ícone do segundo item da barra lateral"
"","3793","Deve exibir o link de adicionar aos favoritos do terceiro produto","","Mon Dec 30 17:22:30 BRT 2024","passed","Mon Dec 30 17:22:34 BRT 2024","","Testes da Página Inicial - Automation Exercise","Testes da Página Inicial - Automation Exercise","Deve exibir o link de adicionar aos favoritos do terceiro produto"
"","13123","Deve adicionar e remover um produto do carrinho","","Mon Dec 30 17:22:17 BRT 2024","passed","Mon Dec 30 17:22:30 BRT 2024","","Testes da Página Inicial - Automation Exercise","Testes da Página Inicial - Automation Exercise","Deve adicionar e remover um produto do carrinho"
"","3994","Deve exibir o segundo item da barra lateral","","Mon Dec 30 17:22:50 BRT 2024","passed","Mon Dec 30 17:22:54 BRT 2024","","Testes da Página Inicial - Automation Exercise","Testes da Página Inicial - Automation Exercise","Deve exibir o segundo item da barra lateral"
"","1605","Deve mostrar erro ao tentar cadastrar com um e-mail inválido","","Mon Dec 30 17:24:36 BRT 2024","passed","Mon Dec 30 17:24:38 BRT 2024","","Testes na página de cadastro - Automation Exercise","Testes na página de cadastro - Automation Exercise","Deve mostrar erro ao tentar cadastrar com um e-mail inválido"
"","10066","Deve validar a acessibilidade do logo","","Mon Dec 30 17:16:55 BRT 2024","passed","Mon Dec 30 17:17:05 BRT 2024","","Testes da Página Inicial - Automation Exercise","Testes da Página Inicial - Automation Exercise","Deve validar a acessibilidade do logo"
"","12140","Deve deletar a conta e validar a exclusão","","Mon Dec 30 17:24:03 BRT 2024","passed","Mon Dec 30 17:24:15 BRT 2024","","Testes de exclusão de conta - Automation Exercise","Testes de exclusão de conta - Automation Exercise","Deve deletar a conta e validar a exclusão"
"","3994","Deve validar o tempo de carregamento da página","","Mon Dec 30 17:17:59 BRT 2024","passed","Mon Dec 30 17:18:03 BRT 2024","","Testes na página de login - Automation Exercise","Testes na página de login - Automation Exercise","Deve validar o tempo de carregamento da página"
"","5236","Deve exibir a seção de marcas de produtos","","Mon Dec 30 17:23:01 BRT 2024","passed","Mon Dec 30 17:23:06 BRT 2024","","Testes da Página Inicial - Automation Exercise","Testes da Página Inicial - Automation Exercise","Deve exibir a seção de marcas de produtos"
"","1796","Deve validar o tempo de carregamento da página de carrinho","","Mon Dec 30 17:10:15 BRT 2024","passed","Mon Dec 30 17:10:17 BRT 2024","","Testes na página de carrinho - Automation Exercise","Testes na página de carrinho - Automation Exercise","Deve validar o tempo de carregamento da página de carrinho"
